created	project_machine_name	version	project_name
2015-06-17 18:45:15	drupal	7.38	Drupal core
2015-06-17 18:44:01	drupal	6.36	Drupal core
2015-05-27 20:29:09	drupal	8.0.0-beta11	Drupal core
2015-05-07 04:21:05	drupal	7.37	Drupal core
2015-04-29 13:33:16	drupal	8.0.0-beta10	Drupal core
2015-04-02 02:54:38	drupal	7.36	Drupal core
2015-03-25 16:15:36	drupal	8.0.0-beta9	Drupal core
2015-03-18 19:27:05	drupal	7.35	Drupal core
2015-03-18 19:25:52	drupal	6.35	Drupal core
2015-02-25 14:38:23	drupal	8.0.0-beta7	Drupal core
2015-01-28 11:10:58	drupal	8.0.0-beta6	Drupal core
2014-12-17 14:07:05	drupal	8.0.0-beta4	Drupal core
2014-11-19 20:28:59	drupal	7.34	Drupal core
2014-11-19 20:28:09	drupal	6.34	Drupal core
2014-11-12 13:01:16	drupal	8.0.0-beta3	Drupal core
2014-11-07 15:34:46	drupal	7.33	Drupal core
2014-10-15 17:03:57	drupal	8.0.0-beta2	Drupal core
2014-10-15 15:34:51	drupal	7.32	Drupal core
2014-10-01 07:03:21	drupal	8.0.0-beta1	Drupal core
2014-09-19 15:10:55	drupal	8.0.0-alpha15	Drupal core
2014-08-06 17:31:59	drupal	7.31	Drupal core
2014-08-06 17:30:09	drupal	6.33	Drupal core
2014-08-06 17:03:23	drupal	8.0.0-alpha14	Drupal core
2014-07-24 22:06:55	drupal	7.30	Drupal core
2014-07-16 20:35:18	drupal	7.29	Drupal core
2014-07-16 20:34:27	drupal	6.32	Drupal core
2014-07-02 10:21:48	drupal	8.0-alpha13	Drupal core
2014-05-28 11:19:15	drupal	8.0-alpha12	Drupal core
2014-05-08 04:15:06	drupal	7.28	Drupal core
2014-04-23 10:30:29	drupal	8.0-alpha11	Drupal core
2014-04-16 22:07:19	drupal	7.27	Drupal core
2014-04-16 22:05:41	drupal	6.31	Drupal core
2014-03-19 12:18:04	drupal	8.0-alpha10	Drupal core
2014-02-19 10:29:42	drupal	8.0-alpha9	Drupal core
2014-01-22 12:14:54	drupal	8.0-alpha8	Drupal core
2014-01-15 19:54:23	drupal	7.26	Drupal core
2014-01-15 19:41:58	drupal	6.30	Drupal core
2014-01-03 00:34:57	drupal	7.25	Drupal core
2013-12-18 20:47:43	drupal	8.0-alpha7	Drupal core
2013-11-22 20:44:01	drupal	8.0-alpha6	Drupal core
2013-11-20 21:33:53	drupal	7.24	Drupal core
2013-11-20 20:55:39	drupal	6.29	Drupal core
2013-11-19 08:34:16	drupal	8.0-alpha5	Drupal core
2013-10-18 10:29:28	drupal	8.0-alpha4	Drupal core
2013-09-04 14:00:39	drupal	8.0-alpha3	Drupal core
2013-08-08 02:13:43	drupal	7.23	Drupal core
2013-06-24 10:24:03	drupal	8.0-alpha2	Drupal core
2013-04-03 22:09:56	drupal	7.22	Drupal core
